Date,SKU,Product Name,Total Tools Price,Total Tools Stock,Sydney Tools Price,Sydney Tools Stock,# Suppliers,Cheapest,Highest,Market Avg,ITM Match Price,Pricing Rule
2026-09-13,00834,WIHA Exclusive 7 Piece VDE Screwdriver Set 00834,109,Yes,,,1,109,109,109,109,Matched Total Tools $109 (ST not listed)
2026-09-13,0782D46BB1605B0328EBB44F01BCC0ACF117DE4E2C6C4711192E3E56CE64AA3D,Spanners,,,,No,0,,,,,No competitor prices — set manually
2026-09-13,0D2279B51A624C9C5E125A667E9BD002D854662B86A4C0CEA51F2A50BF83D1DA,Long Nose Pliers,,,,No,0,,,,,No competitor prices — set manually
2026-09-13,1E080A1D00C1ED4E2706333813292B1991A72CA80D1ABE0B4BFDB3E0C7F69E7A,Tool Bags,,,,No,0,,,,,No competitor prices — set manually
2026-09-13,23B7010A72E208523FAF37C08E2CCD08B008581840F9338EA4D78E69E2D6AC75,C-Clamp,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,26761,WIHA 250mm Multigrip Plastic Handle Plier 26761,72.95,Yes,,,1,72.95,72.95,72.95,72.95,Matched Total Tools $72.95 (ST not listed)
2026-09-13,283D749DB3F7622E9843B6E0371CDFB2B82FBCA0B6F51FC257BDAE2F392A817A,Hand Saws,,,,No,0,,,,,No competitor prices — set manually
2026-09-13,2B30FC21D6FEBDF7A6DF765250117E33DD95607EE228237A0E6020BDA773BBA9,"Magnetic Drill Bit Annular Cutters, Pins & Taps (16)",,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,2D724D858E51EF1469EFF928CF4B9AF197475273705AF2F29482B96900F3E4ED,Clamps,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,33738,WIHA 6Pc Stubby Screwdriver Handle Set 33738,43.95,Yes,,,1,43.95,43.95,43.95,43.95,Matched Total Tools $43.95 (ST not listed)
2026-09-13,377041B9345E7529F0EC17943BA9ED7A32884624CEB26010E5896D860A615CAE,Hammers,,,,No,0,,,,,No competitor prices — set manually
2026-09-13,38138144E26FAE8DAD725F73A6F4E3B446FA0BEA4B6FF31041BC159443323FEB,Mechanical Hand Tools & Accessories,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,38362,WIHA Exclusive 6 Piece VDE Screwdriver Set Slim Shaft 38362,135,Yes,,,1,135,135,135,135,Matched Total Tools $135 (ST not listed)
2026-09-13,38612,WIHA 6 Bits Screwdriver Bit with Magazine LiftUp 38612,165,Yes,,,1,165,165,165,165,Matched Total Tools $165 (ST not listed)
2026-09-13,40523,WIHA 80 Piece Electrician Competence XL Tool Set 40523,2275,Yes,,,1,2275,2275,2275,2275,Matched Total Tools $2275 (ST not listed)
2026-09-13,40674,WIHA Torque Screwdriver Set - 13 Piece 40674,399,Yes,,,1,399,399,399,399,Matched Total Tools $399 (ST not listed)
2026-09-13,40820,WIHA 2.5mm x 75mm Flat VDE Insulated Screwdriver 40820,17.95,Yes,,,1,17.95,17.95,17.95,17.95,Matched Total Tools $17.95 (ST not listed)
2026-09-13,40821,WIHA 3.0mm x 100mm Flat VDE Insulated Screwdriver 40821,19.95,Yes,,,1,19.95,19.95,19.95,19.95,Matched Total Tools $19.95 (ST not listed)
2026-09-13,40822,WIHA 4.0mm x 100mm Flat VDE Insulated Screwdriver 40822,22.95,Yes,,,1,22.95,22.95,22.95,22.95,Matched Total Tools $22.95 (ST not listed)
2026-09-13,40823,WIHA 5.5mm x 125mm Flat VDE Insulated Screwdriver 40823,24.95,Yes,,,1,24.95,24.95,24.95,24.95,Matched Total Tools $24.95 (ST not listed)
2026-09-13,40825,WIHA 80mm Phillips #1 Insulated Screwdriver 40825,25.95,Yes,,,1,25.95,25.95,25.95,25.95,Matched Total Tools $25.95 (ST not listed)
2026-09-13,40826,WIHA 100mm Phillips #2 Insulated Screwdriver 40826,30.95,Yes,,,1,30.95,30.95,30.95,30.95,Matched Total Tools $30.95 (ST not listed)
2026-09-13,40829,WIHA 200mm Needle Nose Pliers 40829,74,Yes,,,1,74,74,74,74,Matched Total Tools $74 (ST not listed)
2026-09-13,41003,WIHA 12 Piece Softfinish Electric Slimfix Screwdriver Set 41003,190,Yes,,,1,190,190,190,190,Matched Total Tools $190 (ST not listed)
2026-09-13,41208,WIHA 3.5mm x 100mm Slotted VDE Insulated Screwdriver 41208,30.95,Yes,,,1,30.95,30.95,30.95,30.95,Matched Total Tools $30.95 (ST not listed)
2026-09-13,41209,WIHA 4.0mm x 100mm Slotted VDE Insulated Screwdriver 41209,36.95,Yes,,,1,36.95,36.95,36.95,36.95,Matched Total Tools $36.95 (ST not listed)
2026-09-13,41212,WIHA 100mm Phillips #2 Insulated Screwdriver 41212,48.95,Yes,,,1,48.95,48.95,48.95,48.95,Matched Total Tools $48.95 (ST not listed)
2026-09-13,41230,WIHA Stubby VDE Magazine Screwdriver with Bit Holder Set 41230,59.95,Yes,,,1,59.95,59.95,59.95,59.95,Matched Total Tools $59.95 (ST not listed)
2026-09-13,41250,WIHA 220mm Insulated Linesman Pliers 41250,76.95,Yes,,,1,76.95,76.95,76.95,76.95,Matched Total Tools $76.95 (ST not listed)
2026-09-13,41926,WIHA Insulated Linesman Plier and Side Cutter Set 2pk 41926,110,Yes,,,1,110,110,110,110,Matched Total Tools $110 (ST not listed)
2026-09-13,42976,WIHA 125mm Precision Mini Flush Cutter 42976,54.95,Yes,,,1,54.95,54.95,54.95,54.95,Matched Total Tools $54.95 (ST not listed)
2026-09-13,43568,WIHA 200mm End Cutter Nipper 43568,48.95,Yes,,,1,48.95,48.95,48.95,48.95,Matched Total Tools $48.95 (ST not listed)
2026-09-13,43569,WIHA 280mm End Cutter Nipper 43569,56.95,Yes,,,1,56.95,56.95,56.95,56.95,Matched Total Tools $56.95 (ST not listed)
2026-09-13,43582,WIHA 200mm Insulated Diagonal Side Cutter Pliers 43582,83.95,Yes,,,1,83.95,83.95,83.95,83.95,Matched Total Tools $83.95 (ST not listed)
2026-09-13,43797,WIHA 12-1000V Non-Contact Voltage Detector 43797,120,Yes,,,1,120,120,120,120,Matched Total Tools $120 (ST not listed)
2026-09-13,43851,WIHA EGROSTAR 9 Piece Ballpoint Magicring Metric Hex Key Set 43851,78.95,Yes,,,1,78.95,78.95,78.95,78.95,Matched Total Tools $78.95 (ST not listed)
2026-09-13,44377,WIHA 220mm Insulated Crosscut Linesman Pliers 44377,79.95,Yes,,,1,79.95,79.95,79.95,79.95,Matched Total Tools $79.95 (ST not listed)
2026-09-13,44537,WIHA VDE 2.0X60mm PicoFinish Slotted Screwdriver 44537,20.95,Yes,,,1,20.95,20.95,20.95,20.95,Matched Total Tools $20.95 (ST not listed)
2026-09-13,44538,WIHA VDE 2.5X60mm PicoFinish Fine Slotted Screwdriver 44538,20.95,Yes,,,1,20.95,20.95,20.95,20.95,Matched Total Tools $20.95 (ST not listed)
2026-09-13,44539,WIHA VDE 3.0X60mm PicoFinish Slotted Screwdriver 44539,20.95,Yes,,,1,20.95,20.95,20.95,20.95,Matched Total Tools $20.95 (ST not listed)
2026-09-13,44540,WIHA VDE 3.5X60mm PicoFinish Slotted Screwdriver 44540,20.95,Yes,,,1,20.95,20.95,20.95,20.95,Matched Total Tools $20.95 (ST not listed)
2026-09-13,44847,WIHA 4 Piece PicoFinish Screwdriver Set 44847,64.95,Yes,,,1,64.95,64.95,64.95,64.95,Matched Total Tools $64.95 (ST not listed)
2026-09-13,45296,WIHA 4in1 VDE Magazine Style SlimBit Screwdriver Set 45296,99,Yes,,,1,99,99,99,99,Matched Total Tools $99 (ST not listed)
2026-09-13,45791,WIHA Electric USB-C Rechargeable Screwdriver With 30 Bits & Case 45791,99.95,Yes,,,1,99.95,99.95,99.95,99.95,Matched Total Tools $99.95 (ST not listed)
2026-09-13,45960,WIHA 1000V VDE 220mm Cross Cut & 200mm Diagonal 2pcs Plier Set 45960,107,Yes,,,1,107,107,107,107,Matched Total Tools $107 (ST not listed)
2026-09-13,47C44B57A41389AD00C2ED2543C59E2B61942722A0C19027B1DB8307030E9F4D,Sharpener Attachments,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,4D0D2305F7970D4AF0B937C5B73991C10781156DCCB8C2EC615BF65B4BC9F59D,Quick Grip Bar Clamp,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,50B2CAE8E18EC726BF6307056804009357896DEF18705901CCAFADC283ADFFFD,HSS High Speed Steel Drill Bit - Sets (2),,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,5531323FBDDD31525FA3D899BEEEA2D239161D3E695F8CC909D7A1CEB9DD81A0,Adaptors,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,5F842EE58602589C4CEB99B9F4CAA5189A9C18FED35C4945BB12B04E0D449BAB,Drill Bit Sharpeners,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-13,60010,HOLEMAKER 12 x 25mm HSS-TiN Multifit Annular Cutter - GOLD SERIES,72,Yes,,,1,72,72,72,72,Matched Total Tools $72 (ST not listed)
