Date,SKU,Product Name,Total Tools Price,Total Tools Stock,Sydney Tools Price,Sydney Tools Stock,# Suppliers,Cheapest,Highest,Market Avg,ITM Match Price,Pricing Rule
2026-09-02,00834,WIHA Exclusive 7 Piece VDE Screwdriver Set 00834,109,Yes,,,1,109,109,109,109,Matched Total Tools $109 (ST not listed)
2026-09-02,1039,Hand Saws,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1089,Knives,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1176,Tool Combination Kits,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1292,Screwdrivers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1361,Voltage Detectors,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1375,Tool Bags,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1384,Tool Pouches & Accessories,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1798,Cable Cutters & Strippers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,1990,Crimpers & Presses,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2196,Diagnostic Tools,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2314,Cordless Screwdriver,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2337,Plier Sets,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,23B7010A72E208523FAF37C08E2CCD08B008581840F9338EA4D78E69E2D6AC75,C-Clamp (3),,,,Yes,0,,,,,No competitor prices — set manually
2026-09-02,2412,Torque Wrenches,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2426,Long Nose Pliers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2430,Combination Pliers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2432,Cutting Pliers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,26761,WIHA 250mm Multigrip Plastic Handle Plier 26761,72.95,Yes,,,1,72.95,72.95,72.95,72.95,Matched Total Tools $72.95 (ST not listed)
2026-09-02,2685,Drill Chucks - Chuck Keys - More Taper Arbors,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-02,2717,Open End Hub Spanners,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2791,Mallet Hammers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2B30FC21D6FEBDF7A6DF765250117E33DD95607EE228237A0E6020BDA773BBA9,"Magnetic Drill Bit Annular Cutters, Pins & Taps (16)",,,,No,0,,,,,No competitor prices — set manually
2026-09-02,2D724D858E51EF1469EFF928CF4B9AF197475273705AF2F29482B96900F3E4ED,Clamps (19),,,,Yes,0,,,,,No competitor prices — set manually
2026-09-02,3006,Nut Driver Set,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,33738,WIHA 6Pc Stubby Screwdriver Handle Set 33738,43.95,Yes,,,1,43.95,43.95,43.95,43.95,Matched Total Tools $43.95 (ST not listed)
2026-09-02,3495,Sharpener Attachments,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-02,3813,Pliers & Cutting Tools,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,38138144E26FAE8DAD725F73A6F4E3B446FA0BEA4B6FF31041BC159443323FEB,Mechanical Hand Tools & Accessories (3),,,,Yes,0,,,,,No competitor prices — set manually
2026-09-02,38362,WIHA Exclusive 6 Piece VDE Screwdriver Set Slim Shaft 38362,135,Yes,,,1,135,135,135,135,Matched Total Tools $135 (ST not listed)
2026-09-02,38612,WIHA 6 Bits Screwdriver Bit with Magazine LiftUp 38612,165,Yes,,,1,165,165,165,165,Matched Total Tools $165 (ST not listed)
2026-09-02,3896,Spanners,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,3899,Mechanical Hand Tools & Accessories,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,3911,Adaptors,,,,Yes,0,,,,,No competitor prices — set manually
2026-09-02,3915,Hammers,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,3916,Wrenches,,,,No,0,,,,,No competitor prices — set manually
2026-09-02,40523,WIHA 80 Piece Electrician Competence XL Tool Set 40523,2275,Yes,,,1,2275,2275,2275,2275,Matched Total Tools $2275 (ST not listed)
2026-09-02,40674,WIHA Torque Screwdriver Set - 13 Piece 40674,399,Yes,,,1,399,399,399,399,Matched Total Tools $399 (ST not listed)
2026-09-02,40820,WIHA 2.5mm x 75mm Flat VDE Insulated Screwdriver 40820,17.95,Yes,,,1,17.95,17.95,17.95,17.95,Matched Total Tools $17.95 (ST not listed)
2026-09-02,40821,WIHA 3.0mm x 100mm Flat VDE Insulated Screwdriver 40821,19.95,Yes,,,1,19.95,19.95,19.95,19.95,Matched Total Tools $19.95 (ST not listed)
2026-09-02,40822,WIHA 4.0mm x 100mm Flat VDE Insulated Screwdriver 40822,22.95,Yes,,,1,22.95,22.95,22.95,22.95,Matched Total Tools $22.95 (ST not listed)
2026-09-02,40823,WIHA 5.5mm x 125mm Flat VDE Insulated Screwdriver 40823,24.95,Yes,,,1,24.95,24.95,24.95,24.95,Matched Total Tools $24.95 (ST not listed)
2026-09-02,40825,WIHA 80mm Phillips #1 Insulated Screwdriver 40825,25.95,Yes,,,1,25.95,25.95,25.95,25.95,Matched Total Tools $25.95 (ST not listed)
2026-09-02,40826,WIHA 100mm Phillips #2 Insulated Screwdriver 40826,30.95,Yes,,,1,30.95,30.95,30.95,30.95,Matched Total Tools $30.95 (ST not listed)
2026-09-02,40829,WIHA 200mm Needle Nose Pliers 40829,74,Yes,,,1,74,74,74,74,Matched Total Tools $74 (ST not listed)
2026-09-02,41003,WIHA 12 Piece Softfinish Electric Slimfix Screwdriver Set 41003,190,Yes,,,1,190,190,190,190,Matched Total Tools $190 (ST not listed)
2026-09-02,41208,WIHA 3.5mm x 100mm Slotted VDE Insulated Screwdriver 41208,30.95,Yes,,,1,30.95,30.95,30.95,30.95,Matched Total Tools $30.95 (ST not listed)
2026-09-02,41209,WIHA 4.0mm x 100mm Slotted VDE Insulated Screwdriver 41209,36.95,Yes,,,1,36.95,36.95,36.95,36.95,Matched Total Tools $36.95 (ST not listed)
2026-09-02,41212,WIHA 100mm Phillips #2 Insulated Screwdriver 41212,48.95,Yes,,,1,48.95,48.95,48.95,48.95,Matched Total Tools $48.95 (ST not listed)
2026-09-02,41230,WIHA Stubby VDE Magazine Screwdriver with Bit Holder Set 41230,59.95,Yes,,,1,59.95,59.95,59.95,59.95,Matched Total Tools $59.95 (ST not listed)
2026-09-02,41250,WIHA 220mm Insulated Linesman Pliers 41250,76.95,Yes,,,1,76.95,76.95,76.95,76.95,Matched Total Tools $76.95 (ST not listed)
2026-09-02,41926,WIHA Insulated Linesman Plier and Side Cutter Set 2pk 41926,110,Yes,,,1,110,110,110,110,Matched Total Tools $110 (ST not listed)
2026-09-02,42976,WIHA 125mm Precision Mini Flush Cutter 42976,54.95,Yes,,,1,54.95,54.95,54.95,54.95,Matched Total Tools $54.95 (ST not listed)
